id,title,pdf_url,doc_date,doc_type,country,project_id,web_url,source_url,content_type,md5,family_id,family_year,status
GCF.document.FP046_16480.6150,Renewable Energy Program #1 - Solar — Gender assessment for FP046: Renewable Energy Program #1 - Solar,https://cdn.climatepolicyradar.org/navigator/MNG/2017/renewable-energy-program-1-solar_72afd5122eab3508e9512fdfa3951c2b.pdf,2017-10-02T00:00:00Z,Gender assessment for FP046: Renewable Energy Program #1 - Solar,MNG,FP046,https://climateprojectexplorer.org/document/renewable-energy-program-1-solar_7e64,https://www.greenclimate.fund/sites/default/files/document/gender-assessment-fp046-xacbank-mongolia.pdf,application/pdf,72afd5122eab3508e9512fdfa3951c2b,GCF.family.FP046.16480,2017,out_of_scope_geo
GCF.document.FP046_16480.6215,Renewable Energy Program #1 - Solar — Gender action plan for FP046: Renewable Energy Program #1 - Solar,https://cdn.climatepolicyradar.org/navigator/MNG/2017/renewable-energy-program-1-solar_fc6ad2e64d383abd594af53911923800.pdf,2017-10-02T00:00:00Z,Gender action plan for FP046: Renewable Energy Program #1 - Solar,MNG,FP046,https://climateprojectexplorer.org/document/renewable-energy-program-1-solar_7e64,https://www.greenclimate.fund/sites/default/files/document/gender-action-plan-fp046-xacbank-mongolia.pdf,application/pdf,fc6ad2e64d383abd594af53911923800,GCF.family.FP046.16480,2017,out_of_scope_geo
GCF.document.FP046_16480.13433,Renewable Energy Program #1 - Solar — 2020 Annual Performance Report for FP046: Renewable Energy Program #1 - Solar,https://cdn.climatepolicyradar.org/navigator/MNG/2017/renewable-energy-program-1-solar_f90c0b0a1c05ee582045515fb8913263.pdf,2017-10-02T00:00:00Z,Performance report,MNG,FP046,https://climateprojectexplorer.org/document/renewable-energy-program-1-solar_7e64,https://www.greenclimate.fund/sites/default/files/document/fp046-annual-performance-report-2020.pdf,application/pdf,f90c0b0a1c05ee582045515fb8913263,GCF.family.FP046.16480,2017,out_of_scope_geo
GCF.document.FP046_16480.14210,Renewable Energy Program #1 - Solar — 2018 Annual Performance Report for FP046: Renewable Energy Program #1 - Solar,https://cdn.climatepolicyradar.org/navigator/MNG/2017/renewable-energy-program-1-solar_859989578a150d4d812ecbd2f0fa67b0.pdf,2017-10-02T00:00:00Z,Performance report,MNG,FP046,https://climateprojectexplorer.org/document/renewable-energy-program-1-solar_7e64,https://www.greenclimate.fund/sites/default/files/document/fp046-2018apr.pdf,application/pdf,859989578a150d4d812ecbd2f0fa67b0,GCF.family.FP046.16480,2017,out_of_scope_geo
GCF.document.FP046_16480.6317,Renewable Energy Program #1 - Solar — Renewable energy program #1: Solar,https://cdn.climatepolicyradar.org/navigator/MNG/2017/renewable-energy-program-1-solar_269ca0865a94ffa8df416297286efa9a.pdf,2017-10-02T00:00:00Z,Renewable energy program #1: Solar,MNG,FP046,https://climateprojectexplorer.org/document/renewable-energy-program-1-solar_7e64,https://www.greenclimate.fund/sites/default/files/document/funding-proposal-fp046-xacbank-llc-mongolia.pdf,application/pdf,269ca0865a94ffa8df416297286efa9a,GCF.family.FP046.16480,2017,out_of_scope_geo
GCF.document.FP046_16480.21522,Renewable Energy Program #1 - Solar — Interim evaluation report for FP046: Renewable Energy Program #1 - Solar,https://cdn.climatepolicyradar.org/navigator/MNG/2017/renewable-energy-program-1-solar_f47fb24021aaaaf20331a8ec67c875d8.pdf,2017-10-02T00:00:00Z,Interim evaluation report for FP046: Renewable Energy Program #1 - Solar,MNG,FP046,https://climateprojectexplorer.org/document/renewable-energy-program-1-solar_7e64,https://www.greenclimate.fund/sites/default/files/document/fp046-interim-evaluation-report-pub_0.pdf,application/pdf,f47fb24021aaaaf20331a8ec67c875d8,GCF.family.FP046.16480,2017,out_of_scope_geo
GCF.document.FP046_16480.21550,Renewable Energy Program #1 - Solar — Final evaluation report for FP046: Renewable Energy Program #1 - Solar,https://cdn.climatepolicyradar.org/navigator/MNG/2017/renewable-energy-program-1-solar_48feff457d4bcf7e436cc3809afc9e68.pdf,2017-10-02T00:00:00Z,Final evaluation,MNG,FP046,https://climateprojectexplorer.org/document/renewable-energy-program-1-solar_7e64,https://www.greenclimate.fund/sites/default/files/document/fp046-final-evaluation-report-pub_0.pdf,application/pdf,48feff457d4bcf7e436cc3809afc9e68,GCF.family.FP046.16480,2017,out_of_scope_geo
GCF.document.FP019_13300.11514,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — 2019 Annual Performance Report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_3965a123bc28e2badcf70e3d156ed039.pdf,2016-10-14T00:00:00Z,Performance report,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/fp019-2019apr.pdf,application/pdf,3965a123bc28e2badcf70e3d156ed039,GCF.family.FP019.13300,2016,out_of_scope_geo
GCF.document.FP019_13300.12698,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — 2020 Annual Performance Report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_ef4d77625a78e054906eae5cd9b0d449.pdf,2016-10-14T00:00:00Z,Performance report,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/fp019-annual-performance-report-cy2020-disclosable.pdf,application/pdf,ef4d77625a78e054906eae5cd9b0d449,GCF.family.FP019.13300,2016,out_of_scope_geo
GCF.document.FP019_13300.14203,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — 2018 Annual Performance Report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_fa531b3244d2fb399a45a7645a2e941b.pdf,2016-10-14T00:00:00Z,Performance report,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/fp019-2018apr.pdf,application/pdf,fa531b3244d2fb399a45a7645a2e941b,GCF.family.FP019.13300,2016,out_of_scope_geo
GCF.document.FP019_13300.14250,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — 2017 Annual Performance Report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_32566bf241d5451b889712da4752e432.pdf,2016-10-14T00:00:00Z,Performance report,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/fp019-2017apr.pdf,application/pdf,32566bf241d5451b889712da4752e432,GCF.family.FP019.13300,2016,out_of_scope_geo
GCF.document.FP019_13300.14672,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — 2021 Annual Performance Report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_ac58c31f7563374b0e772b7ed425e0f4.pdf,2016-10-14T00:00:00Z,Performance report,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/fp019-annual-performance-report-cy2021-v.pdf,application/pdf,ac58c31f7563374b0e772b7ed425e0f4,GCF.family.FP019.13300,2016,out_of_scope_geo
GCF.document.FP019_13300.6301,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — Priming financial and land-use planning instruments to reduce emissions from deforestation,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_6c0b2926356f86a75558437701385f98.pdf,2016-10-14T00:00:00Z,Priming financial and land-use planning instruments to reduce emissions from deforestation,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/funding-proposal-fp019-undp-ecuador.pdf,application/pdf,6c0b2926356f86a75558437701385f98,GCF.family.FP019.13300,2016,out_of_scope_geo
GCF.document.FP019_13300.15803,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — 2022 Annual Performance Report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_fcd9b47728929ca81c22a47a12b81723.pdf,2016-10-14T00:00:00Z,Performance report,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/fp019-annual-performance-report-cy2022-v.pdf,application/pdf,fcd9b47728929ca81c22a47a12b81723,GCF.family.FP019.13300,2016,out_of_scope_geo
GCF.document.FP019_13300.21547,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — Final evaluation report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c36c68c48303cfdeb1b4fea793644e9b.pdf,2016-10-14T00:00:00Z,Final evaluation,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/fp019-final-evaluation-report-pub.pdf,application/pdf,c36c68c48303cfdeb1b4fea793644e9b,GCF.family.FP019.13300,2016,out_of_scope_geo
GCF.document.FP019_13300.21517,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations — Interim evaluation report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,https://cdn.climatepolicyradar.org/navigator/ECU/2016/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_5245076830121061a2af3c31878a0912.pdf,2016-10-14T00:00:00Z,Interim evaluation report for FP019: Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,ECU,FP019,https://climateprojectexplorer.org/document/priming-financial-and-land-use-planning-instruments-to-reduce-emissions-from-deforestations_c391,https://www.greenclimate.fund/sites/default/files/document/fp019-interim-evaluation-report-pub.pdf,application/pdf,5245076830121061a2af3c31878a0912,GCF.family.FP019.13300,2016,out_of_scope_geo
