project_code,document,project_title,project_id,project_lead,publication_year,start_year,closure_year,project_scale,location_count,target_beneficiary_project,GESI_project,results_set,budget_total,disbursed,currency,funding_mechanism,funder,implementor,document_type,resource_id,evidence_depth
P001,P001_doc3.pdf,AFCC2/RI -Support to NPCA TerrAfrica Secretariat,P149269,CON14 || NEPAD || African Union Development Agency,2019,2014,2018,multinational,22 || 24 || 26,CANDIDATE || farmer group || community,The document does not address gender equality or social inclusion.,15 || 12 || >1000 || N,3750000 || 3720411,3720411 || 3629277,USD,grant,GLO18 || World Bank || TerrAfrica Leveraging Fund,CON14 || NEPAD,implementation completion report,ICR00004643,2
P002,P002_doc3.pdf,Resilient Food Systems (RFS),9070 || GEF ID 9070,GLO17 || IFAD,2025,2017,2020 || 2024 || 2022,multinational,12,smallholder farmer,"RFS showed the strongest gender performance of the GEF-6 food systems programs: all 13 child projects reported at least one gender-related outcome, reflecting the program's emphasis on gender mainstreaming from early design. Most child projects supported women through value chains and alternative income activities largely dominated by women, such as non-timber forest products and beekeeping, with seasonal cereal banks and village savings and loan associations underpinning women's empowerment, food security and nutrition. The Ghana country study was more critical: RFS interventions had a limited focus on women's roles, the project was not designed to close gender gaps, women's new income created household tensions over decision-making, and land allocated to women remained small plots near the home.",4700000 || 47 || 350421 || 350000 || 88.4 || 88400000 || 476027 || 478000 || 56707 || 57000 || 613688 || 613000,904100000 || 901000000 || 117900000,,USD,grant,GLO28 || GEF,GLO17 || IFAD || FAO || UNDP || World Bank || UNIDO,portfolio performance review || impact evaluation report || multi-country synthesis,GEF/E/C.70/02,2
P003,P003_doc1.pdf,Taking Deforestation Out Of Commodity Supply Chains || Good Growth Partnership,9072 || GEF ID 9072,GLO27 || UNDP,2025,2017,2022,multinational,1,smallholder farmer || indigenous peoples || CANDIDATE,"GGP child projects performed variably, with 60 percent reporting gender results. GGP Production made the most systematic gender mainstreaming effort: it acknowledged women's marginalisation in palm oil value chains, particularly in formal ownership and decision-making, and nearly 39 percent of farmers trained in technical activities were women, with training extended to household financial management, harvesting, fertilising and pesticide application, plus occupational health and safety for women handling pesticides. Gender was institutionalised through gender indicators in the national action plan M&E framework and the engagement of gender consultants. GGP Demand, by contrast, incorporated gender late, introduced a gender mainstreaming and action plan only in 2019, and left gender largely siloed.",10496 || 2829 || 37 || 27505238 || 28000000 || 129000000 || 140000000 || 488900000,308200000 || 44700000,,USD,grant,GLO28 || GEF,GLO27 || UNDP || WWF || IFC || UNEP || Conservation International,portfolio performance review || impact evaluation report || multi-country synthesis,GEF/E/C.70/02 || ,2
P004,P004_doc1.pdf,Coastal Fisheries Initiative (CFI),9060 || GEF ID 9060,GLO15 || FAO,2025,2017 || 2018, || 2025,multinational,3,artisanal fisher || community,"Sixty percent of CFI child projects reported gender results. The CFI EAFM fisheries project recognised women's participation in fisheries and community-level monitoring and planned alternative livelihood training for women fishers. In Indonesia, CFI reactivated traditional sasi marine conservation systems linked with women-led branding; in Peru it supported women's cooperatives for crab processing and village-based microfinance schemes (UNICAs), through which women experienced socioeconomic and resilience benefits that buffered households against COVID-era shocks. The evaluation notes that project designs concentrated on production, a part of the value chain where women are traditionally less involved.",973000 || 119902 || 393 || 26,245800000 || 37800000,,USD,grant,GLO28 || GEF,GLO15 || FAO || UNDP || WWF || World Bank,portfolio performance review || impact evaluation report || multi-country synthesis,GEF/E/C.70/02 || ,2
P005,P005_doc1.pdf,Niassa Food and Livelihood Security Programme || Niassa Food and Livelihoods Security Programme, || 119444,UK15 || Oxfam,2007,2004,2007,sub-national,5,smallholder farmer || farmer association || community,"Gender is a substantial theme of the evaluation, which explicitly assessed how Oxfam GB's gender policy was incorporated and the project's contribution to women's empowerment. Oxfam employed a Gender Specialist and both District Coordinators were female. Data were disaggregated by sex: women were 62 percent of the 648 association members surveyed, 68 percent of associations had elected women leaders (averaging 1.3 per association), 83 percent of surveyed women could write their names, 21 percent of associations ran a women's support programme and only 3.5 percent had a youth programme. Findings were critical: male-female power relations disadvantaged women, men dominated leadership even where women were the majority, male members had greater access to seeds and vegetable training, and the centralised Maputo-based Gender Specialist post was judged less effective than a field-based one would have been.",6324 || 30 || 68, || 200000,, || USD,grant,UK15 || Oxfam,UK15 || Oxfam || UCASN,monitoring & evaluation report || terminal evaluation,,2
P006,P006_doc1.pdf,Pilot Research/Development Support Project on Integrated Pest Management (IPM) for Subsistence Farming in the Lake Chad Basin || Pilot Research/Development Support Project on Integrated Pest Management for Subsistence Farming in the Lake Chad Basin,P-Z1-AA0-006 || 12402,CON3 || African Development Bank,2010,2001,2005,multinational,20,subsistence farmer || smallholder farmer,"The evaluation contains a dedicated 'Impact on Gender' section and rates the project's gender impact unsatisfactory (score 2 of 4). Women were 24 percent of pilot farmers trained in Farmer Field Schools (29 of 120), and at least 20 percent of extension workers trained were women; the presence of women extension workers facilitated participation by rural women farmers, who in turn taught integrated pest management techniques to other women in their own and nearby villages. A preliminary diagnostic study found women represent about 52 percent of households in the project area and play a vital role in food security, but the evaluation concluded that representation of women in the structures put in place was low and that barriers to women's access to factors of production were not removed.",120 || 10000 || 24,1560000,1390000 || 1393269 || 1710000,UA,grant,CON3 || African Development Bank || Lake Chad Basin Commission,CON54 || Lake Chad Basin Commission,terminal evaluation,,2
P007,P007_doc1.pdf,Empowering Rwandan Farmers: Financial Education as a Catalyst for Sustainable Agricultural Development,,CON26 || ACRE Africa,2023,2019, || 2022,sub-national,2,smallholder farmer,"The impact assessment applied a deliberately gender-sensitive methodology: focus group composition was balanced for gender, age and insurance experience, targeting a minimum 40 percent representation of any gender, and the sampled group comprised 23 women and 10 men. Measures included targeted recruitment of women farmers in the cooperatives, gender-specific question framing on access to resources and household and cooperative decision-making, and female facilitators employed to lead discussions so women could speak more comfortably. The report attributes part of the observed increase in farmer understanding to this gender-sensitive approach and recommends continuing and regularly evaluating gender-sensitive measures within financial education programmes.",85.7 || 71.4 || 100 || 43 || ,,,, || grant,CHE42 || Swiss Capacity Building Facility || SCBF,CON26 || ACRE Africa,impact evaluation report,,2 || 1
P008,P008_doc1.pdf,Cultivating Resilience: The Journey of Agricultural Insurance Product Upscaling in Rwanda,,CON26 || ACRE Africa,2023,2019, || 2022,national || sub-national,5 || N/A,smallholder farmer,"GESI content is limited to disaggregation of the evaluation's own sample: of the key informant interviewees, 13 were male and only 2 female, and the report explicitly notes male dominance among respondents. Beyond a general aspiration to more inclusive and sustainable agricultural development in Rwanda, the document reports no GESI-focused project design, activities or results.",>10000 || 20001 || 48 || 93.3,,,, || grant,CHE42 || Swiss Capacity Building Facility || SCBF,CON26 || ACRE Africa,impact evaluation report,,2
P009,P009_doc3.pdf,South West Indian Ocean Fisheries Governance and Shared Growth Project 1 || SWIOFish1,P132123,GLO18 || World Bank,2023,2015,2022,multinational,3,artisanal fisher || community,"Gender is reported in detail. A 31 percent female beneficiary rate indicator was added during restructuring and indicators carried gender disaggregation where relevant. At closing the project directly benefited 113,944 females, more than three times the intended number but slightly below the intended rate; by country, females were 21 percent of beneficiaries in Comoros against a 27 percent target, 48 percent in Mozambique against 10 percent, 24 percent in Tanzania against 50 percent, and 23 percent of regional activity beneficiaries against 30 percent. The report states the project did not seek to close gender gaps but aimed to ensure a minimum rate of women's access to training and leadership development, and explains the shortfalls by the focus on fisheries production, where men dominate, and by women's continued underrepresentation in fisheries ministries.",11 || 379162 || 137920 || 165 || 30,91000000 || 90826491,86236422,USD,loan+grant || blended || grant+loan,GLO18 || World Bank || GEF,KM1 || Government of Comoros || Government of Mozambique || Government of Tanzania || Indian Ocean Commission || fisheries,implementation completion report,ICR00006265,2
P010,P010_doc3.pdf,Agricultural Productivity Program for Southern Africa (APPSA),P094183,ZA2 || GLO18 || CCARDESA || World Bank,2020,2013,2020,multinational,3,smallholder farmer || producer,"The report includes a Gender subsection under other outcomes and impacts. The project reached a significant number of women as direct beneficiaries and through capacity training, conducted gender-sensitive training to improve business management and marketing skills for female and male beneficiary associations, involved women farmer groups such as the Tiwine Women Farmers Group in seed multiplication, and engaged women's groups and women-led associations in value addition at the Umbeluzi Agrarian Station in Mozambique. Female beneficiaries reached 37 percent against a 30 percent target, and 49, 30 and 37 percent in Malawi, Mozambique and Zambia respectively. Of 160 students sponsored for university training, women were 30 percent of PhD, 41 percent of MSc and 45 percent of BSc places. Training and beneficiary figures are reported disaggregated by sex.",301 || 4612946 || 4600000 || 95 || 80 || 83 || 40472 || 175 || 37,94640000 || 89993045,82898924,USD,loan || loan+grant,GLO18 || World Bank || IDA,ZA2 || CCARDESA || IIAM || ZARI || Chitedze,implementation completion report,ICR00005276,2
