"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth"
"1","P001","CON14","P001.12","Burundi","Burundi","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Restoration Opportunities Assessment Methodologies (ROAM) workshops were conducted only in Uganda in addition to CSIF workshops.","ROAM (Restoration Opportunities Assessment Methodologies) workshops were conducted in Uganda to address climate-induced land degradation risks, with training enabling cascade of knowledge to ground-level officers for implementing Sustainable Land and Water Management (SLWM) practices that enhance climate resilience and mitigate risks from increasing rainfall instability and soil/nutrient loss affecting agricultural productivity.","farmer group","In Uganda, the training was reported to have been used by those who had attended to train middle-level officers, who had in turn trained zone-level community-based officers, thereby cascading the benefits of the workshop down to ground level","","","","outcome","Feedback from interviews with the SLWM coordinators in Lesotho, Uganda and Ghana indicated that the ROAM...and CSIF workshops were found to be very useful.","2"
"2","P001","CON14","P001.2","Madagascar","Madagascar","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Madagascar received support for Country Strategic Investment Framework (CSIF) development as one of 15 countries supported in their SLWM CSIF development, implementation, or update.","Madagascar's CSIF development addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Experts were deployed to support the development and implementation of Madagascar's SLWM Country Strategic Investment Framework (CSIF).","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"3","P001","CON14","P001.3","Gambia","Gambia","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","The Gambia received CSIF validation workshop and SLWM platform launch support.","The Gambia's CSIF validation workshop addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Experts were deployed to support CSIF development, and a validation workshop was conducted for The Gambia.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"4","P001","CON14","P001.4","Kenya","Kenya","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Kenya's CSIF was launched and a ROAM workshop was held in partnership with IUCN.","Kenya's CSIF launch and ROAM workshop address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Kenya's CSIF was launched, experts were deployed, and 11 donor dialogue workshops were supported, including 6 learning modules on SLWM topics.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"5","P001","CON14","P001.5","Niger","Niger","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Niger received CSIF validation support and a ROAM workshop was held in partnership with IUCN.","Niger's CSIF validation and ROAM workshop address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Experts were deployed for CSIF development, and SLWM workshops were held, including 6 learning modules on erosion, land degradation, and agroforestry.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"6","P001","CON14","P001.6","Senegal","Senegal","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Senegal received support for CSIF development and a Financing SLWM in Africa workshop was held in Dakar.","Senegal's CSIF development and SLWM financing workshop address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Experts were deployed to support the development and implementation of Senegal's SLWM Country Strategic Investment Framework (CSIF).","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"7","P001","CON14","P001.7","Democratic Republic of the Congo","Democratic Republic of the Congo","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","DRC received CSIF platform launch and validation workshop support.","DRC's CSIF platform launch and validation workshop address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Experts were deployed for CSIF development, and SLWM workshops were conducted, including 6 learning modules on erosion, land degradation, and agroforestry.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"8","P001","CON14","P001.8","Nigeria","Nigeria","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Nigeria received support for CSIF development as one of 15 countries supported.","Nigeria's CSIF development addresses climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Nigeria received targeted support for the development, implementation, and update of its SLWM Country Strategic Investment Framework (CSIF).","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"9","P001","CON14","P001.9","Malawi","Malawi","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Malawi received ROAM workshop support in partnership with IUCN and was visited for joint fact-finding missions.","Malawi's ROAM workshop and joint fact-finding mission address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Five week-long ROAM workshops were held with IUCN, SLWM workshops with 6 learning modules were conducted, and CSIF support was provided.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
"10","P001","CON14","P001.10","Togo","Togo","land use","The project specifically targets ""Sustainable Land and Water Management (SLWM)"" to strengthen capacity at the NEPAD Agency to support TerrAfrica member countries on knowledge management and actions for scaling up these practices.","Togo received CSIF platform launch and validation workshop support.","Togo's CSIF platform launch and validation workshop address climate-induced land degradation risks through sustainable land and water management practices to enhance agricultural resilience.","farmer group","Experts were deployed for CSIF development, and the country received targeted support including a platform launch and validation.","","","","outcome","The results are backed by PDO indicators that measured achievements against baseline targets.","2"
